"","subID","phase","ln_Fz","pre_MFT","delta_MFT_rest"
"697","l04","b04",1.68954858216724,1.47402266114578,0.215525921021457
"698","l04","b05",1.68327151019136,1.47402266114578,0.209248849045578
"699","l04","b06",1.81706427546475,1.47402266114578,0.343041614318966
"700","l04","b07",1.70771049685768,1.47402266114578,0.233687835711896
"701","l04","b08",1.730062903219,1.47402266114578,0.256040242073214
"702","l04","b09",1.65008616831976,1.47402266114578,0.176063507173977
"703","l04","b10",1.65025146389662,1.47402266114578,0.176228802750838
"704","l04","b11",1.7292303971003,1.47402266114578,0.25520773595452
"705","l04","b12",1.70132083274746,1.47402266114578,0.227298171601683
"706","l04","b13",1.61355793765898,1.47402266114578,0.1395352765132
"707","l04","b14",1.81879503511127,1.47402266114578,0.344772373965494
"708","l04","b15",1.72458711337461,1.47402266114578,0.250564452228833
"709","l04","b16",1.77150757707206,1.47402266114578,0.29748491592628
"710","l04","b17",1.83712025850151,1.47402266114578,0.363097597355731
"711","l04","b18",1.65894943482445,1.47402266114578,0.184926773678666
"712","l04","b19",1.67753342284841,1.47402266114578,0.203510761702627
"713","l04","b20",1.49823000435506,1.47402266114578,0.0242073432092786
"714","l04","pretest",1.47402266114578,1.47402266114578,0
"715","l05","b01",0.490463588119266,0.449963152449453,0.040500435669813
"716","l05","b02",0.639908018361298,0.449963152449453,0.189944865911845
"717","l05","b03",0.532789591321041,0.449963152449453,0.0828264388715882
"718","l05","b04",0.47344139386208,0.449963152449453,0.0234782414126276
"719","l05","b05",0.59482569576167,0.449963152449453,0.144862543312217
"720","l05","b06",0.667581110600085,0.449963152449453,0.217617958150632
"721","l05","b07",0.576261064080606,0.449963152449453,0.126297911631153
"722","l05","b08",0.519848353897957,0.449963152449453,0.0698852014485042
"723","l05","b09",0.647220100774756,0.449963152449453,0.197256948325303
"724","l05","b10",0.822033926726886,0.449963152449453,0.372070774277433
"725","l05","b11",0.526181860511207,0.449963152449453,0.076218708061754
"726","l05","b12",0.418929627496355,0.449963152449453,-0.0310335249530981
"727","l05","b13",0.547470351590964,0.449963152449453,0.0975071991415117
"728","l05","b14",0.562062233252564,0.449963152449453,0.112099080803111
"729","l05","b15",0.431000500545444,0.449963152449453,-0.0189626519040089
"730","l05","b16",0.46791670967533,0.449963152449453,0.0179535572258776
"731","l05","b17",0.518846227246774,0.449963152449453,0.0688830747973211
"732","l05","b18",0.636800301839877,0.449963152449453,0.186837149390424
"733","l05","b19",0.670513152487781,0.449963152449453,0.220550000038329
"734","l05","b20",0.532929300128162,0.449963152449453,0.0829661476787094
"735","l05","pretest",0.449963152449453,0.449963152449453,0
"736","l06","b01",-1.58259527415486,-1.2563909040371,-0.326204370117769
"737","l06","b02",-1.62980745666369,-1.2563909040371,-0.373416552626593
"738","l06","b03",-1.52176386926614,-1.2563909040371,-0.265372965229041
"739","l06","b04",-1.61445258294341,-1.2563909040371,-0.358061678906314
"740","l06","b05",-1.51078016092267,-1.2563909040371,-0.254389256885577
"741","l06","b06",-1.37788577810199,-1.2563909040371,-0.121494874064892
"742","l06","b07",-1.70762586442888,-1.2563909040371,-0.451234960391789
"743","l06","b08",-1.60140328536349,-1.2563909040371,-0.345012381326399
"744","l06","b09",-1.75451787879094,-1.2563909040371,-0.49812697475384
"745","l06","b10",-1.73208875669959,-1.2563909040371,-0.475697852662499
"746","l06","b11",-1.57956998239987,-1.2563909040371,-0.323179078362773
"747","l06","b12",-1.52291190247003,-1.2563909040371,-0.266520998432935
"748","l06","b13",-1.63024694009958,-1.2563909040371,-0.37385603606249
"749","l06","b14",-1.68815098067893,-1.2563909040371,-0.431760076641839
"750","l06","b15",-1.69525067726854,-1.2563909040371,-0.43885977323144
"751","l06","b16",-1.65684159639047,-1.2563909040371,-0.400450692353372
"752","l06","b17",-1.5674881447379,-1.2563909040371,-0.311097240700802
"753","l06","b18",-1.53682452173674,-1.2563909040371,-0.280433617699647
"754","l06","b19",-1.54457783582311,-1.2563909040371,-0.288186931786015
"755","l06","b20",-1.84768997299993,-1.2563909040371,-0.59129906896283
"756","l06","pretest",-1.2563909040371,-1.2563909040371,0
"757","l07","b01",0.70358376564711,0.46937427004753,0.23420949559958
"758","l07","b02",0.685031350354361,0.46937427004753,0.215657080306831
"759","l07","b03",0.669263058639271,0.46937427004753,0.199888788591741
"760","l07","b04",0.575648486815792,0.46937427004753,0.106274216768262
"761","l07","b05",0.665444639123535,0.46937427004753,0.196070369076005
"762","l07","b06",0.709937095557757,0.46937427004753,0.240562825510227
"763","l07","b07",0.82080519870254,0.46937427004753,0.351430928655009
"764","l07","b08",0.674242276927591,0.46937427004753,0.20486800688006
"765","l07","b09",0.638316688334002,0.46937427004753,0.168942418286471
"766","l07","b10",0.454468773032073,0.46937427004753,-0.0149054970154573
